posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
402,1526.65,402,965.3133169,,1501.65,59.68668306
403,1526.65,403,955.9827938,,1501.65,69.0172062
404,1526.65,404,946.0742829,,1501.65,78.9257171
405,1526.65,405,935.5248704,,1501.65,89.4751296
406,1526.65,406,924.3949572,,1501.65,100.6050428
407,1526.65,407,912.638948,,1501.65,112.361052
408,1526.65,408,900.2825799,,1501.65,124.7174201
409,1526.65,409,887.3367012,,1501.65,137.6632988
410,1526.65,410,873.8355047,,1501.65,151.1644953
411,1526.65,411,859.963847,,1501.65,165.036153
412,1526.65,412,846.0954749,,1501.65,178.9045251
413,1526.65,413,832.2307021,,1501.65,192.7692979
414,1526.65,414,818.3595739,,1501.65,206.6404261
415,1526.65,415,804.4908946,,1501.65,220.5091054
416,1526.65,416,790.6236884,,1501.65,234.3763116
417,1526.65,417,776.7591321,,1501.65,248.2408679
418,1526.65,418,762.8883972,,1501.65,262.1116028
419,1526.65,419,749.0177294,,1501.65,275.9822706
420,1526.65,420,735.1514991,,1501.65,289.8485009
421,1526.65,421,721.2799205,,1501.65,303.7200795
422,1526.65,422,707.408114,,1501.65,317.591886
423,1526.65,423,693.5411123,,1501.65,331.4588877
424,1526.65,424,679.6687434,,1501.65,345.3312566
425,1526.65,425,665.8034595,,1501.65,359.1965405
426,1526.65,426,651.9260644,,1501.65,373.0739356
427,1526.65,427,638.0547379,,1501.65,386.9452621
428,1526.65,428,624.1763125,,1501.65,400.8236875
429,1526.65,429,610.3089496,,1501.65,414.6910504
430,1526.65,430,596.4398085,,1501.65,428.5601915
431,1526.65,431,582.5714222,,1501.65,442.4285778
432,1526.65,432,568.7656244,,1501.65,456.2343756
433,1526.65,433,557.2220739,,1501.65,467.7779261
434,1526.65,434,548.8603592,,1501.65,476.1396408
435,1526.65,435,543.313156,,1501.65,481.686844
436,1526.65,436,540.0578687,,1501.65,484.9421313
437,1526.65,437,538.4385689,,1501.65,486.5614311
438,1526.65,438,537.7558866,,1501.65,487.2441134
439,1526.65,439,537.3513208,,1501.65,487.6486792
440,1526.65,440,537.351,,1501.65,487.649
441,1526.65,441,537.351,,1501.65,487.649
442,1526.65,442,537.351,,1501.65,487.649
443,1526.65,443,537.351,,1501.65,487.649
444,1526.65,444,537.351,,1501.65,487.649
445,1526.65,445,537.351,,1501.65,487.649
446,1526.65,446,537.351,,1501.65,487.649
447,1526.65,447,537.351,,1501.65,487.649
448,1526.65,448,537.351,,1501.65,487.649
449,1526.65,449,537.351,,1501.65,487.649
450,1526.65,450,537.351,,1501.65,487.649
451,1526.65,451,537.351,,1501.65,487.649
452,1526.65,452,536.9465595,,1501.65,488.0534405
453,1526.65,453,535.9317817,,1501.65,489.0682183
454,1526.65,454,534.34813,,1501.65,490.65187
455,1526.65,455,532.1406575,,1501.65,492.8593425
456,1526.65,456,529.3168908,,1501.65,495.6831092
457,1526.65,457,525.8623146,,1501.65,499.1376854
458,1526.65,458,521.7963833,,1501.65,503.2036167
